id,f_analisis,var_rpta,segmento
1,201803,0,4
2,201604,0,0
3,201608,0,5
4,201706,0,4
5,201703,0,4
6,201707,1,0
7,201609,0,2
8,201707,0,5
9,201607,0,5
10,201805,0,3
11,201608,1,0
12,201804,0,5
13,201711,0,5
14,201705,0,4
15,201601,0,0
16,201601,1,1
17,201608,1,0
18,201702,0,5
19,201602,0,3
20,201708,0,0
21,201702,0,5
22,201806,0,5
23,201606,0,5
24,201708,0,4
25,201802,0,5
26,201804,0,4
27,201611,0,2
28,201607,0,1
29,201611,0,5
30,201601,0,5
31,201608,0,5
32,201710,0,1
33,201701,0,2
34,201701,0,5
35,201805,0,5
36,201807,0,5
37,201611,0,5
38,201604,1,5
39,201611,0,5
40,201605,0,5
41,201712,0,5
42,201706,0,1
43,201802,0,0
44,201701,0,0
45,201711,0,5
46,201705,0,5
47,201706,0,4
48,201704,0,0
49,201806,0,0
50,201708,0,0
51,201605,0,5
52,201612,0,5
53,201601,0,2
54,201606,0,5
55,201803,0,0
56,201612,0,4
57,201802,0,5
58,201604,0,5
59,201603,0,5
60,201710,0,2
61,201804,0,4
62,201806,0,5
63,201807,0,5
64,201712,0,4
65,201607,0,0
66,201807,0,4
67,201708,0,0
68,201707,0,5
69,201803,0,5
70,201705,0,0
71,201705,0,5
72,201802,0,4
73,201804,0,5
74,201608,1,1
75,201708,0,5
76,201609,0,0
77,201701,0,2
78,201701,0,0
79,201701,0,4
80,201701,0,4
81,201704,0,5
82,201612,0,0
83,201701,1,5
84,201706,0,5
85,201608,0,2
86,201606,0,5
87,201601,0,5
88,201602,0,5
89,201706,0,5
90,201605,0,5
91,201603,0,1
92,201801,1,5
93,201604,0,0
94,201612,0,5
95,201706,0,0
96,201802,0,5
97,201606,0,5
98,201802,0,4
99,201702,0,4
100,201610,0,0
101,201602,0,0
102,201710,0,5
103,201703,0,4
104,201710,1,5
105,201804,1,0
106,201805,0,5
107,201611,0,0
108,201709,0,5
109,201704,0,5
110,201802,0,5
111,201702,0,5
112,201706,0,4
113,201608,0,5
114,201710,0,4
115,201703,0,5
116,201712,0,4
117,201702,0,5
118,201802,1,0
119,201711,0,5
120,201602,1,5
121,201802,0,5
122,201709,0,4
123,201604,0,0
124,201602,0,5
125,201703,0,1
126,201709,0,5
127,201612,0,0
128,201706,0,4
129,201803,0,5
130,201712,0,5
131,201701,0,4
132,201806,0,1
133,201604,0,1
134,201707,0,0
135,201604,0,1
136,201802,0,5
137,201806,1,5
138,201801,0,5
139,201806,0,4
140,201804,0,5
141,201803,0,5
142,201712,0,5
143,201604,0,0
144,201802,0,5
145,201604,0,0
146,201803,0,5
147,201709,0,4
148,201706,0,5
149,201705,0,5
150,201609,0,0
151,201611,0,5
152,201607,0,1
153,201709,0,5
154,201805,0,5
155,201611,0,1
156,201707,0,4
157,201712,0,0
158,201801,0,0
159,201609,0,4
160,201607,0,5
161,201708,0,4
162,201803,0,1
163,201612,0,0
164,201708,0,0
165,201712,0,5
166,201603,0,5
167,201803,0,5
168,201706,0,0
169,201610,0,0
170,201608,0,5
171,201802,0,4
172,201607,0,4
173,201705,0,5
174,201705,0,0
175,201708,0,1
176,201601,0,0
