id,f_analisis,segmento
76537,201806,5
76538,201609,5
76539,201612,5
76540,201702,5
76541,201707,4
76542,201608,3
76543,201610,5
76544,201703,5
76545,201702,0
76546,201703,5
76547,201711,4
76548,201609,5
76549,201607,5
76550,201704,5
76551,201705,5
76552,201606,5
76553,201706,1
76554,201612,1
76555,201612,5
76556,201605,0
76557,201801,4
76558,201707,4
76559,201711,5
76560,201707,5
76561,201706,4
76562,201602,5
76563,201612,5
76564,201609,5
76565,201710,4
76566,201803,5
76567,201804,0
76568,201606,5
76569,201702,5
76570,201805,5
76571,201702,5
76572,201805,5
76573,201804,5
76574,201702,5
76575,201708,5
76576,201601,4
76577,201701,5
76578,201805,5
76579,201710,5
76580,201705,5
76581,201709,5
76582,201612,4
76583,201710,1
76584,201701,5
76585,201610,0
76586,201606,5
76587,201712,5
76588,201804,5
76589,201601,2
76590,201605,5
76591,201801,5
76592,201602,4
76593,201701,5
76594,201801,5
76595,201605,4
76596,201708,1
76597,201703,5
76598,201607,5
76599,201709,3
76600,201709,4
76601,201711,4
76602,201607,5
76603,201604,0
76604,201703,5
76605,201610,5
76606,201802,4
76607,201805,4
76608,201612,4
76609,201805,4
76610,201803,5
76611,201701,5
76612,201710,0
76613,201805,5
76614,201704,4
76615,201710,0
76616,201608,5
76617,201611,0
76618,201606,5
76619,201703,0
76620,201609,5
76621,201605,5
76622,201710,5
76623,201610,5
76624,201804,5
76625,201704,1
76626,201804,5
76627,201606,0
76628,201711,4
76629,201612,0
76630,201702,5
76631,201802,4
76632,201606,5
76633,201711,4
76634,201702,5
76635,201706,4
76636,201704,5
76637,201604,4
76638,201609,4
76639,201711,0
76640,201711,5
76641,201708,5
76642,201805,5
76643,201608,2
76644,201805,0
76645,201711,5
76646,201707,1
76647,201806,5
76648,201612,4
76649,201805,1
76650,201603,0
76651,201801,5
76652,201708,5
76653,201710,5
76654,201704,5
76655,201712,5
76656,201601,5
76657,201707,5
76658,201602,5
76659,201609,0
76660,201802,5
76661,201602,5
76662,201805,5
76663,201804,5
76664,201612,5
76665,201611,5
76666,201610,0
76667,201708,0
76668,201606,5
76669,201706,5
76670,201707,5
76671,201706,5
76672,201805,5
76673,201609,5
76674,201703,0
76675,201701,5
76676,201610,2
76677,201705,4
76678,201710,5
76679,201708,0
76680,201703,4
76681,201609,4
76682,201711,5
76683,201708,5
76684,201604,5
76685,201701,5
76686,201802,1
76687,201708,0
76688,201603,5
76689,201609,5
76690,201707,4
76691,201711,2
76692,201609,5
76693,201709,4
76694,201702,0
76695,201807,5
76696,201804,5
76697,201802,5
76698,201801,0
76699,201612,5
76700,201701,2
76701,201601,0
76702,201604,5
76703,201610,0
76704,201710,0
76705,201701,5
76706,201806,4
76707,201805,5
76708,201606,0
76709,201608,5
76710,201707,2
76711,201703,4
76712,201805,4
76713,201807,4
76714,201712,5
76715,201705,5
76716,201706,5
76717,201610,5
76718,201707,5
76719,201708,5
76720,201707,5
76721,201805,5
76722,201705,4
76723,201702,5
76724,201709,0
76725,201609,3
76726,201805,5
76727,201706,2
76728,201704,4
76729,201708,0
76730,201704,4
76731,201610,0
76732,201707,4
76733,201704,4
76734,201604,0
76735,201606,4
76736,201701,1
76737,201712,5
76738,201601,5
76739,201609,4
76740,201807,4
76741,201606,4
76742,201708,0
76743,201706,4
76744,201707,5
76745,201807,0
76746,201611,5
76747,201708,1
76748,201701,3
76749,201807,5
76750,201604,4
76751,201610,5
76752,201712,1
76753,201607,3
76754,201701,5
76755,201704,5
76756,201802,5
76757,201710,5
76758,201703,1
76759,201603,5
76760,201706,5
76761,201603,5
76762,201701,5
76763,201601,5
76764,201701,2
76765,201603,5
76766,201804,5
76767,201801,4
76768,201705,5
76769,201601,5
76770,201707,4
76771,201707,4
76772,201609,5
76773,201802,5
76774,201702,5
76775,201611,5
76776,201805,4
76777,201802,5
76778,201707,1
76779,201804,0
76780,201605,0
76781,201609,5
76782,201805,1
76783,201711,5
76784,201712,0
76785,201801,0
76786,201807,5
76787,201805,5
76788,201611,5
76789,201607,5
76790,201710,5
76791,201806,0
76792,201706,0
76793,201804,2
76794,201604,2
76795,201710,5
76796,201603,3
76797,201610,0
76798,201806,1
76799,201710,0
76800,201707,0
76801,201606,4
76802,201606,4
76803,201806,5
76804,201802,5
76805,201709,4
76806,201706,5
76807,201703,5
76808,201607,5
76809,201601,5
76810,201612,5
76811,201706,1
76812,201606,0
76813,201708,0
76814,201609,1
76815,201610,5
76816,201704,2
76817,201706,5
76818,201803,0
76819,201701,5
76820,201705,2
76821,201807,4
76822,201807,5
76823,201706,0
76824,201702,5
76825,201611,5
76826,201708,4
76827,201710,5
76828,201709,1
76829,201710,0
76830,201708,2
76831,201709,5
76832,201603,5
76833,201609,4
76834,201703,5
76835,201804,4
76836,201703,4
76837,201611,4
76838,201708,0
76839,201604,0
76840,201711,1
76841,201605,0
76842,201702,5
76843,201707,4
76844,201609,4
76845,201707,5
76846,201804,5
76847,201607,5
76848,201804,1
76849,201601,4
76850,201603,4
76851,201610,5
76852,201807,5
76853,201603,0
76854,201705,5
76855,201701,0
76856,201706,5
76857,201610,4
76858,201710,4
76859,201706,4
76860,201711,4
76861,201612,5
76862,201606,0
76863,201609,4
76864,201803,5
76865,201801,5
76866,201604,2
76867,201801,5
76868,201603,0
76869,201601,5
76870,201708,5
76871,201705,1
76872,201611,4
76873,201704,0
76874,201601,5
76875,201704,5
76876,201604,1
76877,201712,5
76878,201803,4
76879,201601,0
76880,201707,4
76881,201706,4
76882,201804,5
76883,201802,2
76884,201803,5
76885,201806,5
76886,201807,2
76887,201803,5
76888,201709,4
76889,201712,2
76890,201712,5
76891,201710,5
76892,201806,4
76893,201609,5
76894,201805,0
76895,201803,5
76896,201612,5
76897,201611,0
76898,201608,5
76899,201706,5
76900,201608,4
76901,201604,0
76902,201610,5
76903,201801,5
76904,201605,5
76905,201707,4
76906,201603,5
76907,201802,5
76908,201802,5
76909,201611,5
76910,201711,4
76911,201712,2
76912,201706,5
76913,201801,0
76914,201711,5
76915,201602,5
76916,201805,4
76917,201807,5
76918,201702,5
76919,201710,5
76920,201705,5
76921,201601,0
76922,201708,5
76923,201804,4
76924,201612,5
76925,201704,4
76926,201607,4
76927,201604,4
76928,201707,0
76929,201707,0
76930,201702,5
76931,201606,4
76932,201701,5
76933,201608,0
76934,201609,5
76935,201709,5
76936,201712,0
76937,201606,1
76938,201711,4
76939,201806,5
76940,201603,5
76941,201604,5
76942,201703,5
76943,201803,0
76944,201606,1
76945,201606,5
76946,201709,5
