canal,disposit,cdgtrn,cdgrpta,grupo_descrp_trxn,descrip_trxn,clasif_trxn,descripcion_grupo,descrip_cod_rpta,clasif_cod_rpta,grupo_modifcado,culpa_banco,producto_asociado
CANAL_1,DISPOSIT_2,None,None,None,None,None,None,None,None,None,None,None
CANAL_6,DISPOSIT_4,349.0,0.0,Consulta Detalle Prestamos,Consulta Detalle Credito Hipotecario,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Hipotecario
CANAL_2,DISPOSIT_13,227.0,6.0,Validacion Del Cliente Para Segunda Clave,Validacion Del Cliente Para Segunda Clave,No Financiera,Claves,No Coinciden Datos,Tecnicamente Exitosa,Validaciones,NO,Sin producto
CANAL_2,DISPOSIT_11,260.0,299.0,Consulta De Saldo Tarjetas,Consulta saldos tarjetas propias Bancolombia,No Financiera,Consultas / Movimientos / Extractos,#N/A Pendiente De Respuesta,No Exitosa,Consultas / Movimientos / Extractos,SI,Tarjeta Debito
CANAL_8,DISPOSIT_3,5500.0,21.0,Solicitud OTP ODA,Solicitud OTP ODA,No Financiera,Claves,Bloqueado voluntariamente,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_2,DISPOSIT_11,460.0,568.0,Consulta De Saldo Deposito,Consulta De Saldos Cuenta Corriente,No Financiera,Consultas / Movimientos / Extractos,#N/A Pendiente De Respuesta,No Exitosa,Consultas / Movimientos / Extractos,SI,Cta Corriente
CANAL_8,DISPOSIT_3,603.0,611.0,Cambio De Segunda Clave,Cambio De Segunda Clave,No considerar,No considerar,"Segunda Clave No Valida, Segundo Intento",No considerar,NA,NO,Sin producto
CANAL_2,DISPOSIT_11,602.0,3.0,Consulta De Novedades,Consulta De Novedades,No Financiera,Consultas / Movimientos / Extractos,Documento No Tiene Inscrita La Cuenta Solicitada,No Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_5,DISPOSIT_4,4500.0,21.0,Solicitud OTP ODA,Solicitud OTP ODA,No Financiera,Claves,Bloqueado voluntariamente,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,531.0,21.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Referencia No Valida,Tecnicamente Exitosa,Pagos,NO,Cta Ahorros
CANAL_5,DISPOSIT_4,1103.0,35.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Otros Bancos,Financiera,Transferencias de fondos,Valor Transferencia Por Debajo De Tope Minimo Permitido,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_6,DISPOSIT_4,531.0,88.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Sistema No Disponible,No Exitosa,Pagos,SI,Cta Ahorros
CANAL_5,DISPOSIT_4,529.0,705.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Financiera,Pago Tarjetas,Supera Valor Maximo Personalizado,Tecnicamente Exitosa,Pagos,NO,TDC
